id,account_name,address,city,province_state,postal_zip,country,latitude,longitude,naics,naics_description,sic_6,sic_6_description,website,census_tract,account_type,estimated_annual_revenue_of_business,n_employees
439889350,Mc Donald's,10 Peakview Way,Halifax,NS,B3M0G1,Canada,44.69987,-63.687758,722511,Full-Service Restaurants,581208,RESTAURANTS,,2050123.04,PROSPECT,"$2,500,000 - $4,999,999",50 - 99 employees
722716187,Goat Coffee Co,893 Pape Ave,East York,ON,M4K3V1,Canada,43.684597,-79.346686,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350184.01,PROSPECT,"$1,000 - $499,999",1 - 4 employees
59935676,Gospel Cafe & Restaurant,5120 Dixie,Mississauga,ON,L4T,Canada,43.636717,-79.62332,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350528.35,PROSPECT,"$1,000 - $499,999",5 - 9 employees
727728009,Yummy Wings & Fries,1168 Albion Rd,Etobicoke,ON,M9V1A8,Canada,43.737986,-79.568,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350250.01,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
37967288,Tim Hortons,3316 Lakeshore Rd West,Etobicoke,ON,M9W1M9,Canada,43.37926,-79.71741,722515,Snack and Nonalcoholic Beverage Bars,546105,DOUGHNUTS,,5350610.02,PROSPECT,"$1,000,000 - $2,499,999",20 - 49 employees
46461471,Lucky Dragon Restaurant,325 Weston Rd,York,ON,M6N4Z9,Canada,43.67884,-79.473381,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350106,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
57319733,Joey Don Mills,15 O'neil Rd,North York,ON,M3C0H2,Canada,43.734008,-79.344701,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350263.02,PROSPECT,"$1,000 - $499,999",5 - 9 employees
33125881,Pasty Cafe,989 Derry Rd E,Mississauga,ON,L5T2J8,Canada,43.66585,-79.68618,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350528.41,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
55094932,Coquine,2075 Yonge St,Toronto,ON,M4S2A4,Canada,43.702726,-79.397196,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350128.02,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
440514996,Lievre Et La Tortue,1200 3e Av,Quebec,QC,G1L2X7,Canada,46.827968,-71.231006,722514,"Cafeterias, Grill Buffets, and Buffets",581214,CAFES,,4210036,PROSPECT,"$1,000 - $499,999",5 - 9 employees
438517325,Hina Japanese Restaurant,789 The Queensway,Etobicoke,ON,M8Z1N4,Canada,43.62547,-79.50631,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350215,PROSPECT,"$1,000 - $499,999",5 - 9 employees
55071401,Starbucks,1800 Sheppard Ave E,North York,ON,M2J5A7,Canada,43.77775,-79.3445,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350303,CUSTOMER,"$1,000,000 - $2,499,999",10 - 19 employees
740443192,Chicken In The Kitchen,5600 Yonge St,North York,ON,M2N5S2,Canada,43.77952,-79.41587,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350308.04,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
743309853,Little Pebbles Ltd,4-160 Baldwin St,Toronto,ON,M5T1L8,Canada,43.654903,-79.400104,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350038,PROSPECT,"$1,000 - $499,999",1 - 4 employees
29931631,Tim Hortons,5014 Dixie Rd,Mississauga,ON,L4W1C9,Canada,43.635682,-79.621782,722515,Snack and Nonalcoholic Beverage Bars,546105,DOUGHNUTS,,5350528.35,PROSPECT,"$1,000 - $499,999",1 - 4 employees
34374728,Yummy Bbq House,1959 Finch Ave W,North York,ON,M3N2V3,Canada,43.756236,-79.51817,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350312.04,PROSPECT,"$1,000 - $499,999",5 - 9 employees
42805721,Pizza Hut,4559 Hurontario St,Mississauga,ON,L4Z3L9,Canada,43.60821,-79.65022,722511,Full-Service Restaurants,581222,PIZZA,,5350528.45,CUSTOMER,"$1,000,000 - $2,499,999",20 - 49 employees
21644216,Thornhill Pizza,477 Herring Cove Rd,Halifax,NS,B3R1W5,Canada,44.60474,-63.613224,722511,Full-Service Restaurants,581208,RESTAURANTS,,2050001,PROSPECT,"$1,000 - $499,999",1 - 4 employees
64039159,Kibo Sushi House,533 Parliament St,Toronto,ON,M4X1P3,Canada,43.665697,-79.368266,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350068,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
62488135,Au Vieux Duluth Restaurant,3333 Rue Du Carrefour,Quebec,QC,G1C5R9,Canada,46.86086,-71.217728,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210311.01,PROSPECT,"$1,000,000 - $2,499,999",20 - 49 employees
